sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,jobName,transcript
The general topography of the province is characterized by uplifted plantation surfaces.,2,0,teens,male,england,en,,12,False,True,common_voice_en_20230377.mp3,The general topography of the province is characterized by uplifted plantation services.
This is also a pragmatic view adopted by a number of scholars.,2,0,thirties,male,england,en,,12,False,True,common_voice_en_21359215.mp3,This is also a pragmatic view adopted by a number of scholars.
As well as at least four unnamed family plots.,2,0,twenties,female,england,en,,9,False,True,common_voice_en_20175145.mp3,As well as at least four unnamed family plots.
Most broadcasts are only a few minutes to a few hours at a time.,2,1,twenties,female,england,en,,14,False,True,common_voice_en_19017444.mp3,Most broadcasts are only a few minutes to a few hours at a time.
"No roads were ever built, and no earthworks or materials were ever bought.",2,0,thirties,male,england,en,,13,False,True,common_voice_en_18993276.mp3,No roads were ever built and no earthworks or materials were ever bought.
"‘I dare say it will,’ replied his friend dryly.",2,0,fifties,male,england,en,,9,False,True,common_voice_en_19638712.mp3,Identity It will reply to his friend dr Lee.
"In continental Europe, ""Letters"" proved equally popular.",2,0,twenties,male,england,en,,7,False,True,common_voice_en_19653084.mp3,In continental europe letters proved equally popular.
A soundtrack was released by Universal Music Group.,2,0,thirties,male,england,en,,8,False,True,common_voice_en_20179040.mp3,A soundtrack was released by Universal Music Group.
He's a fanatic.,3,0,fifties,female,england,en,,3,False,True,common_voice_en_142201.mp3,He's a fanatic.
That would be funny if he did.,2,0,thirties,male,england,en,,7,False,True,common_voice_en_18165270.mp3,That would be funny if he did.
Where'd you get it?,2,0,seventies,male,england,en,,4,False,True,common_voice_en_107507.mp3,Where do you get it?
Fans of Johnny Mathis can thank Mr. Livingston for All The Time among others.,2,0,sixties,male,england,en,,14,False,True,common_voice_en_20313133.mp3,"Fans of johnny Mathis can thank mr Livingston for all the time, among others."
I lost them last Thursday.,2,0,fourties,male,england,en,,5,False,True,common_voice_en_18128676.mp3,I lost the last thursday.
The city inherits a very rich culture.,2,0,twenties,male,england,en,,7,False,True,common_voice_en_23378201.mp3,The city inherits a very rich culture.
Dances are often accompanied by the contrabass or the guitar.,2,0,thirties,male,england,en,,10,False,True,common_voice_en_19753210.mp3,Dancers are often accompanied by the contra bass or the guitar.
The integer arithmetic instructions use the integer operate instruction formats.,2,0,twenties,male,england,en,,10,False,True,common_voice_en_22058527.mp3,The integer arithmetic instructions use the integer operate instruction formats.
Sliced cabanossi is also a popular pizza topping.,2,0,thirties,male,england,en,,8,False,True,common_voice_en_21655964.mp3,Sliced Carbon Ozzy is also a popular pizza topping.
She lives the same life still?,2,0,twenties,male,england,en,,6,False,True,common_voice_en_18606766.mp3,She lives the same life still.
Precipitation is well distributed throughout the year.,2,0,fourties,male,england,en,,7,False,True,common_voice_en_23734086.mp3,Precipitation is well distributed throughout the year.
Many of his outdoor nudes were painted there.,2,0,thirties,male,england,en,,8,False,True,common_voice_en_21419594.mp3,Many of his outdoor nudes were painted there.
That's why I want you to continue toward your goal.,2,1,thirties,male,england,en,,10,False,True,common_voice_en_155752.mp3,That's why I want you to continue towards your goal.
"Three armed tribesmen approached, and asked what the boy and the alchemist were doing there.",3,0,twenties,male,england,en,,15,False,True,common_voice_en_221058.mp3,Three armed tribesmen approached and asked what the boy and the alchemist were doing there.
So how will we name all these hurricanes?,3,1,twenties,male,england,en,,8,False,True,common_voice_en_153111.mp3,So how will we name all these hurricanes?
"In the country of the blind, the one-eyed man is king.",2,0,sixties,male,england,en,,11,False,True,common_voice_en_18247065.mp3,"In the country of the blind, the one eyed Man is King."
"Elsewhere, the track was elevated - frequently over long distances - on timber pilings.",2,0,thirties,male,england,en,,14,False,True,common_voice_en_19953873.mp3,"Elsewhere, the track was elevated frequently over long distances on timber pilings."
He carried two dead hawks over his shoulder.,3,0,teens,male,england,en,,8,False,True,common_voice_en_103233.mp3,He carried two dead hawks over his shoulder.
The progressive format did not last at that station.,2,1,twenties,female,england,en,,9,False,True,common_voice_en_22015002.mp3,The progressive format did not last at that station.
The district is centered on Huntington Beach.,2,0,twenties,male,england,en,,7,False,True,common_voice_en_19090338.mp3,The district is centered on Huntington Beach.
The economy of Asakura is primarily based on agriculture.,2,0,twenties,female,england,en,,9,False,True,common_voice_en_19062865.mp3,The economy of Asakura is primarily based on agriculture.
"What is it, dear?",2,0,teens,male,england,en,,4,False,True,common_voice_en_17266990.mp3,What Does It Do?
Did he recede from his position?,2,1,sixties,male,england,en,,6,False,True,common_voice_en_18466177.mp3,Did he received from his position?
"A line that is decreasing has a negative ""rise"".",2,0,fourties,male,ireland,en,,9,False,True,common_voice_en_18721552.mp3,A line that is decreasing has a negative rise okay.
The character is usually depicted as an enemy of the X-Men.,2,0,fifties,female,ireland,en,,11,False,True,common_voice_en_21224864.mp3,The character is usually depicted as an enemy of the X men.
I'm sorry it's impossible.,2,0,thirties,male,ireland,en,,4,False,True,common_voice_en_178647.mp3,"I'm sorry, it's impossible."
There ain't any more.,2,0,thirties,male,ireland,en,,4,False,True,common_voice_en_178689.mp3,There Ain't any More.
Gran Canaria has roads encircling the whole island and extending into the mountain areas.,3,0,fourties,male,ireland,en,,14,False,True,common_voice_en_20150272.mp3,Grand Canaria has road encircling the whole island and extending into the mountain areas.
The Imperial Army imposed strict censorship.,2,1,thirties,male,ireland,en,,6,False,True,common_voice_en_19944007.mp3,The Imperial Army imposed strict censorship.
It's all about dates.,2,0,fifties,female,ireland,en,,4,False,True,common_voice_en_21101413.mp3,It's all about dates.
My stupor can scarcely have lasted beyond a few seconds.,2,0,fifties,female,ireland,en,,10,False,True,common_voice_en_21224752.mp3,My stupor can scarcely have lasted beyond a few seconds.
The chair lift took them up the mountain.,3,0,thirties,male,ireland,en,,8,False,True,common_voice_en_179080.mp3,The chairlift took them up the mountain.
"Gordon no longer mentions bootlaces, and the two engines soon talk about trucks.",2,0,thirties,male,ireland,en,,13,False,True,common_voice_en_22538758.mp3,Gordon no longer mentions boot laces and the two engines soon talk about trucks.
They say it's a fake!,2,0,thirties,male,ireland,en,,5,False,True,common_voice_en_178722.mp3,They say it's a fake.
Agriculture is the main economic activity.,2,1,twenties,female,ireland,en,,6,False,True,common_voice_en_19674018.mp3,Agriculture is the main economic activity.
Where did you find that apple?,2,0,twenties,male,ireland,en,,6,False,True,common_voice_en_17252662.mp3,Where Did you find that Apple?
"You will bring these persons before me, this afternoon.",3,0,twenties,male,ireland,en,,9,False,True,common_voice_en_19665853.mp3,You will bring these persons performing this afternoon.
I'm literally a flying pony.,2,0,twenties,male,ireland,en,,5,False,True,common_voice_en_18212861.mp3,I'm literally a flying pony.
A symphony.,2,0,fourties,male,ireland,en,,2,False,True,common_voice_en_18121610.mp3,A Symphony.
The northern boundary of the parish is marked by the River Went.,2,1,twenties,female,ireland,en,,12,False,True,common_voice_en_23765268.mp3,The northern boundary of the parish is marked by the River Want.
These were suitable for engaging fast torpedo boats.,2,1,fourties,male,ireland,en,,8,False,True,common_voice_en_19777401.mp3,These were suitable for engaging fast torpedo boats.
The capital of the present date nation state of Akyem Bosome is Akyem Swedru.,2,1,fifties,female,ireland,en,,14,False,True,common_voice_en_20870824.mp3,The capital of the present date Nation state of a key um bozo May is a key um swear drew Mhm.
What would you say about that?,2,0,thirties,male,ireland,en,,6,False,True,common_voice_en_178814.mp3,Mhm. What would you say about that?
The thaw came early and freed the stream.,2,0,fifties,female,ireland,en,,8,False,True,common_voice_en_17790012.mp3,The thal came early and freed the stream.
"Other writers included W. H. Boulton, Melva Purkis, and Harry Whittaker among many others.",2,0,fourties,female,ireland,en,,14,False,True,common_voice_en_19260808.mp3,"Other writers included Wh bolton, Melvin Purpose and Harry Whitaker among many others."
Part of this was also attributed to a downturn in the telecommunications sector.,2,0,fourties,male,ireland,en,,13,False,True,common_voice_en_18712946.mp3,Part of this was also attributed to a downturn in the telecommunications sector.
Its editor-in-chief is Mohamed A. F. Noor.,2,0,twenties,male,ireland,en,,7,False,True,common_voice_en_19265400.mp3,Its editor in chief is Mohammed a f North.
Foxes are uncommon where I'm from.,2,0,fourties,male,ireland,en,,6,False,True,common_voice_en_18121401.mp3,Foxes are uncommon where I'm from.
"It was there that she met her fellow student, Henry Moore.",2,0,fourties,male,ireland,en,,11,False,True,common_voice_en_19769312.mp3,It was there that she met her fellow student Henry moore.
And the alchemist understood that the boy's heart had returned to the Soul of the World.,3,0,thirties,male,ireland,en,,16,False,True,common_voice_en_205348.mp3,And the alchemists understood that the boy's heart had returned to the soul of the world.
"""Don't you think that's being rather immodest?"" the lawyer replied.",3,0,fifties,female,ireland,en,,10,False,True,common_voice_en_19646658.mp3,"Don't you think that's being rather modest, the lawyer replied."
He developed several improvements in railroad signalling system that increased railway safety.,2,0,fourties,female,ireland,en,,12,False,True,common_voice_en_19260807.mp3,He developed several improvements in railroad signaling system that increased railway safety.
Some of the restaurants continued to be privately owned by Aoki.,2,0,fourties,male,ireland,en,,11,False,True,common_voice_en_19789288.mp3,Some of the restaurants continue to be privately owned by Okay.
"Although oil has been discovered near Fannett, the town's population has remained small.",2,0,fourties,male,ireland,en,,13,False,True,common_voice_en_20120109.mp3,"Although oil has been discovered near Fanis, the town's population has remained small."
Aldosterone is largely responsible for the long-term regulation of blood pressure.,2,0,twenties,male,ireland,en,,11,False,True,common_voice_en_20287592.mp3,AL dust alone is largely responsible for the long term regulation of blood pressure.
"It was not clear who had the right of way, since the traffic lights were off.",2,0,thirties,male,ireland,en,,16,False,True,common_voice_en_179052.mp3,It was not clear who had the right of way since the traffic lights were off.
"So, are you planning to order a taxi?",2,0,fifties,female,ireland,en,,8,False,True,common_voice_en_17790038.mp3,So are you planning to order a taxi?
Pete Bodenheimer and Slava Zatchuny also contributed to set development.,2,0,fifties,female,ireland,en,,10,False,True,common_voice_en_21101868.mp3,Pete Bodenheimer and Slava's Adjani also contributed to set development.
There are many spoons.,2,0,fifties,male,ireland,en,,4,False,True,common_voice_en_210816.mp3,There are many spoons.
"Ruse was named after James Ruse, known as Australia's first farmer.",2,0,fifties,female,ireland,en,,11,False,True,common_voice_en_21101018.mp3,Ruse was named after James Ruse known as Australia's 1st Farmer.
"Woman in white sweater, holding a drink, talking to man in jacket.",2,0,fourties,male,ireland,en,,12,False,True,common_voice_en_202198.mp3,"MM Woman in white sweater holding a drink, talking to man in jacket."
I'm feeling a little tipsy.,2,0,twenties,male,ireland,en,,5,False,True,common_voice_en_15752515.mp3,I'm feeling a little tipsy.
Then there was the campaign.,2,0,teens,male,ireland,en,,5,False,True,common_voice_en_18330135.mp3,Then there was the campaign.
The process of encrypting the hash value of a message is called digital signature.,2,0,fifties,male,ireland,en,,14,False,True,common_voice_en_210810.mp3,The process of encrypting the hash value of a message is called digital signature.
Sulzberger was married three times.,2,0,thirties,male,ireland,en,,5,False,True,common_voice_en_22538759.mp3,Sulzberger was married three times.
Tranquillity is the first duty of citizens,2,0,thirties,male,ireland,en,,7,False,True,common_voice_en_137795.mp3,Tranquility is the first duty of citizens.
Peter finally surrenders when an American missile is pointed at him.,2,0,twenties,male,ireland,en,,11,False,True,common_voice_en_19265335.mp3,Peter finally surrenders when an american missiles pointed at him.
'Under Construction' is simply translated to 'super fun playground'.,2,1,thirties,male,ireland,en,,9,False,True,common_voice_en_178908.mp3,Mhm under construction is simply translated to superfund playground.
"Other top-ten hits include, ""Pineapple Princess"", ""Let's Get Together"" and more.",2,0,thirties,male,ireland,en,,11,False,True,common_voice_en_22123935.mp3,"Other top 10 hits include Pineapple, Princess Let's get together and more."
The Philadelphia Eagles signed him out of Grand Valley State University.,2,0,fifties,female,ireland,en,,11,False,True,common_voice_en_20713189.mp3,The philadelphia Eagles signed him out of Grand Valley State University.
"College in Bangalore, India.",2,1,twenties,male,ireland,en,,4,False,True,common_voice_en_19666054.mp3,College in Bangalore India.
"However, his filament had low resistance, thus needing heavy copper wires to supply it.",2,0,fifties,female,ireland,en,,14,False,True,common_voice_en_21101104.mp3,"However, his filament had low resistance, thus needing heavy copper wires to supply it."
"The Czech educator Comenius based his work ""Janua linguarum reserata"" on this text.",2,0,fifties,female,ireland,en,,13,False,True,common_voice_en_20713037.mp3,The Czech educator Armenia's based his work Januvia in guar um misurata on this text.
"All species of sifakas are threatened, ranging from vulnerable to critically endangered.",2,0,twenties,male,ireland,en,,12,False,True,common_voice_en_19763501.mp3,All species of Safa qasar threatened ranging from vulnerable to critically endangered.
These products appeal to the masses and encourage conformity to the consumers.,2,0,fourties,female,ireland,en,,12,False,True,common_voice_en_18713112.mp3,These products appeal to the masses and encourage conformity to the consumers.
"Being a peninsula, the sea has long been vital to Gibraltar's transport links.",2,0,fifties,female,ireland,en,,13,False,True,common_voice_en_21101015.mp3,"Being a peninsula, the sea has long been vital to Gibraltar's transport links."
The city also hosts a number of National and International Ice Speedway events.,2,0,fourties,male,ireland,en,,13,False,True,common_voice_en_18721495.mp3,"Right, the city also hosts a number of national and international ice speedway events."
"The founding members were: Alexander, Avoniel, Cliftonville, Distillery, Knock, Moyola Park and Oldpark.",2,0,fourties,male,ireland,en,,13,False,True,common_voice_en_18712978.mp3,"The founding members were alexander von l Cliftonville Distillery, knock my Eola Park and Old Park."
What's it all about?,2,1,thirties,male,ireland,en,,4,False,True,common_voice_en_137782.mp3,What's it all about?
Why are we doing this again?,2,0,teens,male,ireland,en,,6,False,True,common_voice_en_17355285.mp3,Why are we doing this again?
"Japanese culture is incredibly addictive, their buildings look amazing.",2,0,twenties,male,newzealand,en,,9,False,True,common_voice_en_18034125.mp3,"Japanese culture is incredibly addictive, their buildings look amazing."
Thereby the matter has been deprived of practical significance or rendered purely academic.,2,0,thirties,male,newzealand,en,,13,False,True,common_voice_en_21203250.mp3,Thereby the matter has been deprived of practical significance or rendered purely academic.
Mrs. Gardner said she thought he put several women together to create the character.,2,0,twenties,female,newzealand,en,,14,False,True,common_voice_en_22749688.mp3,mrs Gardner said she thought he put several women together to create the character.
The cake will be ready in seventeen minutes.,2,0,fourties,male,newzealand,en,,8,False,True,common_voice_en_11820530.mp3,The cake will be ready in 17 minutes.
Contributions gratefully received,2,0,fourties,male,newzealand,en,,3,False,True,common_voice_en_18460368.mp3,Contributions gratefully received.
"I'm a detective, not an economist. ",2,1,twenties,male,newzealand,en,,7,False,True,common_voice_en_17693201.mp3,I'm a Detective not a Communist.
Lucas also served as the Associate Artistic Director.,2,0,sixties,male,newzealand,en,,8,False,True,common_voice_en_20029446.mp3,Lucas also served as the Associate artistic Director.
What do you associate with Iceland?,2,0,fourties,male,newzealand,en,,6,False,True,common_voice_en_11351964.mp3,What do you associate with Iceland?
"Phil, will you take a stance on this matter?",2,1,twenties,male,newzealand,en,,9,False,True,common_voice_en_18066548.mp3,Phil will you take a stance on this matter?
That's comparing apples and oranges.,2,0,fourties,male,newzealand,en,,5,False,True,common_voice_en_17418035.mp3,Mhm. That's comparing apples and oranges.
"""What do you want here today?"" the desert asked him.",4,1,thirties,male,newzealand,en,,10,False,True,common_voice_en_127364.mp3,What do you want here today That is it asked him.
The marsh will freeze when cold enough.,2,0,fourties,male,newzealand,en,,7,False,True,common_voice_en_17454138.mp3,The marshal freeze been cold enough.
"However, his feelings towards the record were largely negative, leaving him depressed.",2,0,thirties,male,newzealand,en,,12,False,True,common_voice_en_22758618.mp3,"However, his feelings towards the record were largely negative, leaving him depressed."
"At the first glance, it was really not very exciting.",29,1,thirties,male,newzealand,en,,10,False,True,common_voice_en_1513.mp3,At first glance it was really not very exciting.
"It allowed users to create public chat rooms, send private messages, and use emoticons.",2,0,twenties,male,newzealand,en,,14,False,True,common_voice_en_22443828.mp3,"It allows users to create public chat rooms, send private messages and use emoticons."
Fuji District was dissolved as a result of this merger.,2,0,fifties,male,newzealand,en,,10,False,True,common_voice_en_18893834.mp3,Fuji District was dissolved as a result of this merger Okay.
Now his intuition was that he had been right in coming.,3,0,thirties,male,newzealand,en,,11,False,True,common_voice_en_127170.mp3,Now his intuition was that he had been right and coming.
She's absolutely cool about it.,2,1,thirties,male,newzealand,en,,5,False,True,common_voice_en_21209954.mp3,She's absolutely cool about it.
"Try to make eye contact with a stranger on the bus, and hold it for five seconds, without speaking.",2,0,fourties,male,newzealand,en,,19,False,True,common_voice_en_17248858.mp3,Try to make eye contact with a stranger on the bus and hold it for five seconds without speaking.
Bouchard served as opposition leader while Godbout remained leader of the Liberal Party.,2,0,seventies,male,newzealand,en,,13,False,True,common_voice_en_19852698.mp3,Bouchard served as opposition leader while God bought remained leader of the Liberal Party.
"If you don't have the suit, lay down any other card.",2,0,thirties,male,newzealand,en,,11,False,True,common_voice_en_19547602.mp3,If you don't have the suit lay down any other card Mhm.
Please make sure your recordings are not cut off.,2,0,fourties,male,newzealand,en,,9,False,True,common_voice_en_17369641.mp3,Please make sure your recordings are not cut off.
What else can I do?,2,1,twenties,male,newzealand,en,,5,False,True,common_voice_en_18033938.mp3,What else Can I do?
Is anything the matter?,2,0,twenties,male,newzealand,en,,4,False,True,common_voice_en_18066484.mp3,Is anything the matter?
Daqiqi was murdered by his favorite slave.,2,1,thirties,male,newzealand,en,,7,False,True,common_voice_en_19547558.mp3,That quickly was murdered by his favorite slave.
"""But there's a tribal war,"" the boy reiterated.",3,0,thirties,male,newzealand,en,,8,False,True,common_voice_en_127331.mp3,But there is a tribal or the boy reiterated.
"Khemri was originally called Nehekhara, of which Khemri was a major city.",2,0,thirties,male,newzealand,en,,12,False,True,common_voice_en_20168221.mp3,"kim Marie was surgery called nakata, of which Camry was a major city."
Other groups include the Christchurch Archery club and New Brighton long boarders club.,2,0,thirties,male,newzealand,en,,13,False,True,common_voice_en_20031188.mp3,Other groups include the Christchurch Archery Club and You brought It Long Borders Club.
Not to know how to sign one's name.,2,0,fourties,male,newzealand,en,,8,False,True,common_voice_en_17314174.mp3,Not to know how to sign 1's name.
"In the Late Carboniferous, tropical rainforests lay over the equator of Euramerica.",2,0,thirties,male,newzealand,en,,12,False,True,common_voice_en_20166622.mp3,In the late carboniferous tropical rainforests lay over the equator of your America.
How do you know it?,2,0,twenties,female,newzealand,en,,5,False,True,common_voice_en_17524531.mp3,How Do You know it?
"A wise man doesn't need advice, and a fool won't take it.",2,0,twenties,male,newzealand,en,,12,False,True,common_voice_en_18066515.mp3,A wise man doesn't need advice and a full won't take it.
"Hey, stop staring at my decollete!",2,1,fourties,male,newzealand,en,,6,False,True,common_voice_en_17248859.mp3,Hey stop staring at my dick olivier.
Agriculture was a very important achievement in human history.,2,0,fourties,male,newzealand,en,,9,False,True,common_voice_en_17488872.mp3,Agriculture was a very important achievement in human history.
The genus includes the important group of culinary herbs: marjoram and oregano.,2,0,thirties,male,newzealand,en,,12,False,True,common_voice_en_22758699.mp3,"The genus includes the important group of culinary herbs, marjoram and Oregon A."
The future has never been so bright than today.,2,1,fourties,male,newzealand,en,,9,False,True,common_voice_en_17509285.mp3,The future has never been so bright then today.
You must understand that love never keeps a man from pursuing his destiny.,3,0,thirties,male,newzealand,en,,13,False,True,common_voice_en_127362.mp3,You must understand that love never keeps a man from pursuing his destiny.
Do you notice the flickering of the neon lights?,2,0,fifties,male,newzealand,en,,9,False,True,common_voice_en_17246114.mp3,Do you notice the flickering of the neon lights?
"As the flag unfurled, they all hollered like wild beasts.",3,1,fourties,male,newzealand,en,,10,False,True,common_voice_en_11254.mp3,"As the flag unfurled, they all heart like wild beasts."
And what is that?,2,0,fourties,male,newzealand,en,,4,False,True,common_voice_en_17253558.mp3,And What is That?
Global warming has occurred rapidly over the course of the past half-century.,2,0,thirties,male,newzealand,en,,12,False,True,common_voice_en_20177067.mp3,Global warming has occurred rapidly over the course of the past half century.
There is a thin line between love and hate.,2,0,fourties,male,newzealand,en,,9,False,True,common_voice_en_17376237.mp3,There is a thin line between love and hate.
Hunger is good mustard — the best sauce,2,0,fourties,male,newzealand,en,,8,False,True,common_voice_en_12566778.mp3,"Yeah, Hunger is good Mustard the best source."
"As they watched the waves crashing into each other, Alice thought of home.",2,0,fourties,male,newzealand,en,,13,False,True,common_voice_en_17249564.mp3,"As they watched the waves crashing into each other, Alice Thought of Home Yeah!"
"Amy was the daughter of the vicar of Saint Stephen's Church, Spring Street, Hull.",2,0,fifties,male,newzealand,en,,14,False,True,common_voice_en_18890753.mp3,"Yeah, Amy was the daughter of the figure of ST Stephen's church, Spring Street, Hull yeah."
A pod is what peas always grow in.,2,0,fourties,male,newzealand,en,,8,False,True,common_voice_en_17376246.mp3,The pod is what peas always grow in.
This coat is fur-lined.,2,0,fourties,male,newzealand,en,,4,False,True,common_voice_en_17407334.mp3,This coat is fur lined.
How old are you?,2,0,fourties,male,newzealand,en,,4,False,True,common_voice_en_17289600.mp3,How old are You?
Mono has released nine studio albums.,2,0,thirties,male,newzealand,en,,6,False,True,common_voice_en_21209796.mp3,Mono has released nine studio albums.
"Grime, rust and residual particles polluted the air.",2,0,fourties,male,newzealand,en,,8,False,True,common_voice_en_17253570.mp3,Grime rust and residual particles polluted the air.
"Anton, a Santa Fe railroad executive.",2,0,thirties,male,newzealand,en,,6,False,True,common_voice_en_20284799.mp3,Yeah Anton a santa fe railroad Executive.
Do you understand what it means?,2,0,twenties,male,newzealand,en,,6,False,True,common_voice_en_18034138.mp3,Do you understand what it means?
I retrieved the crop with a pallet jack.,2,0,fourties,male,newzealand,en,,8,False,True,common_voice_en_17412635.mp3,I. Retrieved the crop with a pallet jack.
Traditional corps drum majors are effective showmen who command the corps in all venues.,2,1,thirties,male,newzealand,en,,14,False,True,common_voice_en_21206781.mp3,Traditional cause drum majors are effective showman who command the Cause and all venues.
"The word ""Aurinko"" means ""The Sun"" in Finnish.",2,0,thirties,male,newzealand,en,,8,False,True,common_voice_en_20031190.mp3,The word al Rinker means the sun and finish yeah.
Silence gives consent.,2,1,fourties,male,newzealand,en,,3,False,True,common_voice_en_17369592.mp3,Silence gives consent.
I thought we'd already agreed that we couldn't risk that information falling into his hands.,2,0,twenties,male,newzealand,en,,15,False,True,common_voice_en_17285567.mp3,I thought we'd already agreed that we couldn't risk that information falling into his hands.
I think that is all.,2,0,fourties,male,newzealand,en,,5,False,True,common_voice_en_16624487.mp3,I think that is all.
The sun awning was printed with the respective country flags.,2,0,thirties,male,newzealand,en,,10,False,True,common_voice_en_20166747.mp3,The sun awning was printed with the respective country flags.
"Yesterday, I asked my doctor for a new prescription.",2,0,fourties,male,newzealand,en,,9,False,True,common_voice_en_11351651.mp3,"Yeah, yesterday I asked my doctor for a new prescription."
However it was an international success.,2,0,thirties,male,newzealand,en,,6,False,True,common_voice_en_19547443.mp3,"However, it was an international success."
"What is it, boss?",2,0,twenties,male,newzealand,en,,4,False,True,common_voice_en_18033985.mp3,What Is It Boss?
Can I have one of those?,2,0,fourties,male,newzealand,en,,6,False,True,common_voice_en_115779.mp3,Can I have one of those?
You don’t like him?,2,0,fourties,male,newzealand,en,,4,False,True,common_voice_en_11351573.mp3,Christmas you don't like him.
The papers of William Miller are preserved in the archives at Aurora University.,2,0,thirties,male,newzealand,en,,13,False,True,common_voice_en_20031921.mp3,The papers of William Miller are preserved in the archives at Aurora University.
A cloud of dust stung his tender eyes.,2,0,fourties,male,newzealand,en,,8,False,True,common_voice_en_17394025.mp3,A cloud of dust stung his tender eyes.
"One would receive a sharp wound from it, but there is no pain.",2,0,thirties,male,newzealand,en,,13,False,True,common_voice_en_19547711.mp3,"one would receive a sharp wind from it, but there is no pain."
"Oh man, I think I got friend-zoned once again.",2,0,fourties,male,newzealand,en,,9,False,True,common_voice_en_17289467.mp3,"Yeah man, I think I got friend zoned once again."
Warming centers typically open during particularly cold or rainy nights.,2,0,fifties,male,newzealand,en,,10,False,True,common_voice_en_18893592.mp3,Warming centres typically open during particularly cold or rainy nights.
The new law prohibits smoking in public transportation systems.,2,0,thirties,male,newzealand,en,,9,False,True,common_voice_en_17284218.mp3,The new little prohibit smoking and public transportation systems.
The bill will need to be re-introduced in order to be considered again.,2,0,seventies,male,newzealand,en,,13,False,True,common_voice_en_19853491.mp3,The bill will need to be reintroduced in order to be considered again.
The bright lanterns were gay on the dark lawn.,2,0,fourties,male,newzealand,en,,9,False,True,common_voice_en_17375676.mp3,The bright lanterns were gay on the dark lawn.
See the player scoot to third base.,2,1,fourties,male,newzealand,en,,7,False,True,common_voice_en_11820795.mp3,See the player Scoot to 3rd Base.
"Mutes little instruments on the bridge of the violin, deadening the sound.",2,0,fourties,male,newzealand,en,,12,False,True,common_voice_en_16623999.mp3,Mutes little instruments on the bridge of the violin didn't mean the sound.
"After graduation, he returned home to Arizona, where he began his law practice.",2,0,fifties,male,newzealand,en,,13,False,True,common_voice_en_18906287.mp3,"After graduation he returned home to Arizona, where he began a straw practice."
"Well, we shall see.",2,0,fourties,male,newzealand,en,,4,False,True,common_voice_en_17249524.mp3,"Well, we shall see."
"In frustration and anger, the son lashes out, knocking his father to the ground.",2,0,fourties,female,scotland,en,,14,False,True,common_voice_en_20170426.mp3,"The frustration and, and uh, your sunglasses as like a father to the ground."
Evins was a powerful figure in Congress.,2,0,fourties,female,scotland,en,,7,False,True,common_voice_en_19858895.mp3,He was a kind of figure in your beds.
Soon a dye was added to the liquid.,2,0,fourties,female,scotland,en,,8,False,True,common_voice_en_19593195.mp3,Still and I was added to the liquid.
Rothmans has been involved in a number of lawsuits in Canada.,3,0,fourties,male,scotland,en,,11,False,True,common_voice_en_19794762.mp3,Okay Rothmans has been involved in a number of lawsuits in Canada.
We can describe the object's movement with a differential equation of second order.,2,1,fourties,female,scotland,en,,13,False,True,common_voice_en_18019178.mp3,Mhm We can just grab the artist movement with they will show the question of second order.
"Lately, he has adopted a more casual dress code.",2,0,fourties,female,scotland,en,,9,False,True,common_voice_en_19859109.mp3,"Lately he has adopted a podcast, a dress code."
Some famous supermarket chains are located outside Newarthill.,2,1,fourties,male,scotland,en,,8,False,True,common_voice_en_22448486.mp3,Some famous supermarket chains are located outside new york Hill.
