sentence,up_votes,down_votes,age,gender,accent,locale,segment,sentence_len,is_asian,us_eu,jobName,transcript
Why does this tyrannosaurus rex feel sticky?,2,1,fourties,female,scotland,en,,7,False,True,common_voice_en_18263613.mp3,Why does the china sauce packs feel sticky?
"In such a way, temporary failures have less impact on the communication quality.",2,0,fourties,female,scotland,en,,13,False,True,common_voice_en_20782002.mp3,The saturated temporary fellows are upstairs with packed on the compression quality.
Don't say those things!,2,0,thirties,male,scotland,en,,4,False,True,common_voice_en_198884.mp3,Don't see Those things.
Then he bent once more over the woman.,2,0,fourties,female,scotland,en,,8,False,True,common_voice_en_18620730.mp3,Then he bet first more over the woman.
Wandana Primary School is on Cowra Avenue.,2,0,fourties,male,scotland,en,,7,False,True,common_voice_en_21692334.mp3,When Donna Primary School is on Kyra Avenue.
"A Hufflepuff prefect, he shows a notable streak of modesty and fairness.",2,0,twenties,male,scotland,en,,12,False,True,common_voice_en_19598826.mp3,"A half Cup of Prefect, he shows a notable streak of modesty in fairness."
"The track ""The Supermarket Strikes Back"" is a riposte to ""Barcode Bypass"" from ""Loss"".",2,1,fourties,female,scotland,en,,14,False,True,common_voice_en_19530419.mp3,The track the supermarket starts back with crossed T fuck of bypass and loss.
"The original community of the institute is headquartered in Monroe, Michigan.",2,0,fourties,male,scotland,en,,11,False,True,common_voice_en_22238303.mp3,The original community of the institute's headquarter in one row of Michigan.
Shuttlesworth stuck with the Riders and called Kennedy.,2,0,fourties,female,scotland,en,,8,False,True,common_voice_en_19411153.mp3,Hello slash stock with the virus I called paladin yeah.
He decided to concentrate on more practical matters.,2,1,fourties,male,scotland,en,,8,False,True,common_voice_en_106457.mp3,He decided to concentrate on more practical matters.
Energy levels due to impurities deeper in the bandgap are called deep levels.,2,0,twenties,male,scotland,en,,13,False,True,common_voice_en_23815830.mp3,Energy levels due to impurities deeper in the band gap are called deep levels.
Her magical specialty is blowing things up.,2,1,fourties,male,scotland,en,,7,False,True,common_voice_en_21692191.mp3,Her magical specialty is blowing things up.
"On a few occasions, the B-side became the more popular song.",2,0,fourties,female,scotland,en,,11,False,True,common_voice_en_20112886.mp3,On a big occasions the best cyber capable popular song.
You'd better take it easy.,2,0,twenties,male,scotland,en,,5,False,True,common_voice_en_141144.mp3,You better take it easy.
He was born at Dunedin.,2,1,fourties,female,scotland,en,,5,False,True,common_voice_en_19846142.mp3,Just Call on taliban.
I was about to mount the stairs.,2,0,fourties,female,scotland,en,,7,False,True,common_voice_en_18651702.mp3,I was about to about the stairs.
"He later reported A few months later, Charles Sullivan got himself killed.",2,1,fourties,female,scotland,en,,12,False,True,common_voice_en_19817244.mp3,"He let a report a few months later, Just Sovereign got himself killed."
Betterton Beach is located at the foot of Main Street.,2,0,fourties,female,scotland,en,,10,False,True,common_voice_en_20379322.mp3,The latter beach is located at the foot of Men's Great.
The State of Virginia banned swimming along the coast.,2,0,fourties,female,scotland,en,,9,False,True,common_voice_en_20644615.mp3,"You speak out Virginia, that is for me a lot of codes."
It is located in the north-western part of Taguig City.,2,0,fourties,female,scotland,en,,10,False,True,common_voice_en_20757720.mp3,You just look here in the North to step up our University.
But having lived with it for a while it sounds much better.,2,1,fourties,female,scotland,en,,12,False,True,common_voice_en_20379353.mp3,But I don't think the dead but a but it sounds much better.
"The district has three staffed offices in Hammond, South Bend and Fort Wayne.",2,1,fourties,male,scotland,en,,13,False,True,common_voice_en_22314806.mp3,"The district had three staffed offices in Hammond, South Bend and four Trina."
He was a member of the Board of the German Marshall Fund.,2,0,fourties,male,scotland,en,,12,False,True,common_voice_en_23765980.mp3,He was a member of the board of the German Marshall Fund.
Your head does not ache.,2,0,fourties,female,scotland,en,,5,False,True,common_voice_en_19576243.mp3,Your head does not take yeah.
"After Jimmy realises the harm Bush has caused, he calls off the fight.",2,0,fourties,female,scotland,en,,13,False,True,common_voice_en_19794489.mp3,"I thought jimmy, lots of the harm, much like cars because of the fight."
It's the strap hangers that'll keep us from going under.,2,0,teens,male,scotland,en,,10,False,True,common_voice_en_18315407.mp3,It's the strap hangers that will keep us from going under.
"No, my Lady, I've seen him!",2,0,fourties,female,scotland,en,,6,False,True,common_voice_en_18586876.mp3,"No, my lady, I'm telling him."
Tangier is not like the rest of Africa.,3,0,teens,other,scotland,en,,8,False,True,common_voice_en_196033.mp3,10 years not like the rest of Africa.
Temperature and vegetation of these habitats are likely to be altered by Climate Change.,2,1,fourties,female,scotland,en,,14,False,True,common_voice_en_20665475.mp3,Temperature advocation of the sub tax allow it to be after by planet change.
The patrol consisted almost entirely of lifeguard duty and mine destruction.,2,1,fourties,female,scotland,en,,11,False,True,common_voice_en_20103455.mp3,The patrick thomas is dead almost entirely of that guy's duty and like construction.
The door closed.,2,0,fourties,female,scotland,en,,3,False,True,common_voice_en_18333597.mp3,The dog clothes.
"If I gave it up now, my wife would leave me.",2,0,fourties,male,scotland,en,,11,False,True,common_voice_en_21692180.mp3,"If I give it up now, my wife would lead me."
The saga indicates that the Norwegians were divided into two groups.,2,0,twenties,male,scotland,en,,11,False,True,common_voice_en_23820156.mp3,The Saga indicates that the Norwegians were divided into two groups.
"After Lucy, Phil Collen went on to the band Tush.",2,0,fourties,female,scotland,en,,10,False,True,common_voice_en_20112691.mp3,After lucY been calling My Time to the Bank Touch.
"Despite the popularity, Aucas has never won an Ecuadorian championship.",2,1,fourties,female,scotland,en,,10,False,True,common_voice_en_20170497.mp3,"Okay, that's part of publicity all cars has never got over the World Championship Yeah."
"""But I'm going to Egypt,"" the boy said.",3,0,teens,other,scotland,en,,8,False,True,common_voice_en_196040.mp3,"But I'm going to Egypt, the boy said."
Theft of food and money has become much more common.,2,1,fourties,female,scotland,en,,10,False,True,common_voice_en_20655582.mp3,Checked out food I really have become much more common.
"It was designed by Tei's long-time collaborator designing team, Tycoon Graphics for Graphickers.",3,1,fourties,male,scotland,en,,13,False,True,common_voice_en_22474530.mp3,"It was designed by ties, longtime collaborator designing team tycoon graphics for traffickers."
"It has numerous thorns, long.",2,0,fourties,male,scotland,en,,5,False,True,common_voice_en_19820737.mp3,It has numerous thorns long.
Their abrupt disappearance marks the boundary between the Lower and the Middle Cambrian.,2,1,fourties,female,scotland,en,,13,False,True,common_voice_en_19870995.mp3,There are also disappear you're smart battery which don't lower the physic cabin.
"Crookston now lies just within Glasgow's present-day boundary with Ralston, Renfrewshire.",2,1,fourties,female,scotland,en,,11,False,True,common_voice_en_19729857.mp3,Got it Kristen nine lives just spending Haskell specific Bradley Boston real share.
Eventually banks grew suspicious in London and Saward decided to try his luck elsewhere.,2,0,fourties,female,scotland,en,,14,False,True,common_voice_en_19893470.mp3,Have actually fast growing suspicions in London and someone to start the charges stuck elsewhere.
The larger issue of denominational school funding remains extremely controversial in the province.,2,0,fifties,female,scotland,en,,13,False,True,common_voice_en_19779814.mp3,The larger issue of denominational school funding remains extremely controversial in the products.
To speak of his death so regardlessly wounded her feelings.,2,0,twenties,male,scotland,en,,10,False,True,common_voice_en_23803612.mp3,"To speak of his death, so regardless, lee wounded her feelings."
"It offers education in the areas of the sciences, business studies and modern studies.",2,1,fourties,female,scotland,en,,14,False,True,common_voice_en_20743390.mp3,"Of the Various Sciences, Business Studies A Lot of Studies."
"During the scene in Mr. Renard's hotel room, a bellhop brings him a newspaper.",2,0,twenties,male,scotland,en,,14,False,True,common_voice_en_23815710.mp3,"During the scene in mr Renard's hotel room, a bellhop brings him a newspaper."
This did not make him popular with the more conservative wing of the party.,2,1,fourties,female,scotland,en,,14,False,True,common_voice_en_20730614.mp3,This directive popular with the North because of bacon with another party.
"Following her recommissioning, ""Vammen"" underwent her regularly scheduled overhaul at the Todd Shipyard.",2,0,teens,male,scotland,en,,13,False,True,common_voice_en_19766146.mp3,"Following her recognition, Ng famine underwent her regularly scheduled overhaul at the Todd shipyard."
She was replaced at Discovery by John Ford.,2,1,fourties,female,scotland,en,,8,False,True,common_voice_en_18874049.mp3,"She was displaced, I just go away by job board."
When she's with Brian she loves him.,2,0,fourties,female,scotland,en,,7,False,True,common_voice_en_20170443.mp3,"Just with Right, she loves him."
Thus my conjectures get more and more support.,2,1,fourties,female,scotland,en,,8,False,True,common_voice_en_18594331.mp3,That's my protectors get more a full support.
"""The Mehri Language of Oman"".",2,0,fourties,female,scotland,en,,5,False,True,common_voice_en_19439770.mp3,The relevant language of Oman.
This means that potassium ions can no longer diffuse out of the cell.,2,0,fourties,male,scotland,en,,13,False,True,common_voice_en_21858130.mp3,This means that potassium ions can no longer diffuse out of the cell.
"In banking, value date is the delivery date of funds traded.",2,0,fourties,female,scotland,en,,11,False,True,common_voice_en_19817866.mp3,"In banking, but it take a terrible deck of bus credit Mhm."
Reid afterward described Ambrose as the best prime minister Canada never had.,2,0,fourties,male,scotland,en,,12,False,True,common_voice_en_19810294.mp3,Read afterwards described Ambrose as the best prime minister Canada never had.
"His rooms were on staircase C, First Court, and known as the 'Q-bicle'.",2,0,fifties,male,scotland,en,,13,False,True,common_voice_en_19646773.mp3,"His rooms were on staircase, see 1st court and known as the cubicle."
Mission planners were unaware of the existence of the trailers.,2,0,twenties,male,scotland,en,,10,False,True,common_voice_en_23803250.mp3,Mission planners were unaware of the existence of the trailers.
The waters are fine for kayaking and sailing.,2,0,twenties,male,scotland,en,,8,False,True,common_voice_en_23803225.mp3,The waters are fine for kayaking and sailing.
The villains are mostly ex-crooks who wants that area of the bridge for themselves.,2,1,twenties,male,scotland,en,,14,False,True,common_voice_en_23801768.mp3,The villains are mostly ex crooks who want that area of the bridge for themselves.
"At a dance festival, the Duke experiences various dreams.",2,0,fourties,male,scotland,en,,9,False,True,common_voice_en_22474517.mp3,At a dance festival in peak experiences various dreams.
He currently teaches at Aish HaTorah College of Jewish Studies.,2,0,fourties,female,scotland,en,,10,False,True,common_voice_en_20139229.mp3,We Kill it teaches Aish Hatorah College cure stories.
Aero Continente competed with these airlines by offering extremely low ticket fares.,2,1,fourties,female,scotland,en,,12,False,True,common_voice_en_20112398.mp3,L. Opportunity competing these airlines are offered a doll to give bears.
The victory failed to live up to Napoleon's expectations.,2,0,sixties,female,us,en,,9,False,True,common_voice_en_22956489.mp3,Victory failed to live up to napoleon's expectations.
The governor of Breisach was bribed to transfer the fortress to France.,2,0,thirties,male,us,en,,12,False,True,common_voice_en_22782853.mp3,The Governor of Research was bribed to transfer the fortress to France.
"After retiring, Dihigo became a radio announcer for the Cuban Winter League.",2,0,twenties,female,us,en,,12,False,True,common_voice_en_21876544.mp3,"After retiring, the Hugo became a radio announcer for the Cuban Winter League."
How long have you been experiencing these symptoms?,2,0,twenties,other,us,en,,8,False,True,common_voice_en_17283180.mp3,How long have you been experiencing these symptoms?
The horror show starts off with a pyrotechnic stage show complete with actors.,2,0,fifties,male,us,en,,13,False,True,common_voice_en_19676110.mp3,"The horror show starts off with a pyrotechnic stage show, complete with actors."
‘How do you know I’m mad?’ said Alice.,2,1,thirties,male,us,en,,8,False,True,common_voice_en_18642330.mp3,"How do You know I'm Mad, said Alice."
But the lead fell considerably in the following day's polls.,2,0,twenties,female,us,en,,10,False,True,common_voice_en_20106002.mp3,"But the lead fell considerably in the following days, polls."
The starting blocks consist of two adjustable footplates attached to a rigid frame.,2,0,teens,male,us,en,,13,False,True,common_voice_en_21467255.mp3,The starting blocks consist of two adjustable foot plates attached to a rigid frame.
"He also made the front cover of ""Sports Illustrated"" following his five-game winning streak.",2,0,twenties,male,us,en,,14,False,True,common_voice_en_19676045.mp3,He also made the front cover of sports illustrated following his five game winning streak.
"Two days later, operations from ""Theseus"" ended.",2,0,twenties,female,us,en,,7,False,True,common_voice_en_19463757.mp3,"And two days later, operations from thesis ended."
The bark of the pine tree was shiny and dark.,2,0,thirties,female,us,en,,10,False,True,common_voice_en_17779685.mp3,The bark of the pine tree was shiny and dark.
Onslaught was assaulted by the Avengers before he could pick up Thor's hammer.,2,0,twenties,male,us,en,,13,False,True,common_voice_en_20212898.mp3,Onslaught was assaulted by the Avengers before he could pick up the words Hammer.
"One of the names provided is ""Yule-beings"".",2,0,fourties,male,us,en,,7,False,True,common_voice_en_23780248.mp3,One of the names provided is you'll beings.
Go now and come here later.,3,0,twenties,male,us,en,,6,False,True,common_voice_en_1858127.mp3,Go Now and Come Here Later.
It is useful for investigating the effects of irradiation on high temperature superconductors.,2,0,twenties,male,us,en,,13,False,True,common_voice_en_19511657.mp3,It is useful for investigating the effects of irradiation on high temperature superconductors.
"Shapiro was later replaced by Rolf Barnes, though he later rejoined the group.",2,0,twenties,male,us,en,,13,False,True,common_voice_en_19009502.mp3,"Shapiro was later replaced by ralph Barnes, though he later rejoined the group."
What else can I do?,2,0,fourties,male,us,en,,5,False,True,common_voice_en_17271943.mp3,What else Can I do?
"The ""ultra accelerator"" injection gives Derrick the power he needs to change the past.",2,1,fifties,female,us,en,,14,False,True,common_voice_en_19687171.mp3,The ultra accelerator injection gives Derek the power he needs to change the past Yeah.
My guardian said directly he would go too.,2,0,thirties,male,us,en,,8,False,True,common_voice_en_18582599.mp3,My Guardian said directly he would go to.
There are successful robot designs mating the two technologies.,2,0,thirties,male,us,en,,9,False,True,common_voice_en_22758113.mp3,There are successful robot designs mating the two technologies.
The girl at the booth sold fifty bonds.,2,0,twenties,female,us,en,,8,False,True,common_voice_en_111931.mp3,The girl at the Booth sold 50 bonds.
Basehead has received praise for its distinctive sound and lyrics.,2,0,sixties,female,us,en,,10,False,True,common_voice_en_18940209.mp3,Face Head has received praise for its distinctive sound and lyrics.
He designed the first school and the church in the colony.,2,0,fifties,male,us,en,,11,False,True,common_voice_en_19640568.mp3,He designed the first school and the church in the colony.
The railway station was locked up by the police.,2,1,twenties,male,us,en,,9,False,True,common_voice_en_105799.mp3,The railway station was locked up by the police.
Only Sun customers with paid support contracts have access to updates for production releases.,2,0,thirties,male,us,en,,14,False,True,common_voice_en_19349711.mp3,Only son customers with paid support contracts have access to updates for production releases.
The Luck School District serves the village.,2,0,fourties,female,us,en,,7,False,True,common_voice_en_20287741.mp3,The Luck School District serves the village.
Does that imply I can no longer play badminton?,2,0,twenties,male,us,en,,9,False,True,common_voice_en_17248185.mp3,Does that imply I can no longer play badminton?
"He attended Doctor Morgan's Grammar School, Bridgwater where he met Kim Newman.",2,0,sixties,male,us,en,,12,False,True,common_voice_en_18752363.mp3,"He attended dr morgan's Grammar School, Bridgewater, where he met kim Newman."
"According to Emily Harper, I hear mixed opinions from the fans.",2,0,twenties,male,us,en,,11,False,True,common_voice_en_20971183.mp3,"According to Emily harper, I hear mixed opinions from the fans."
Albert Einstein was a German physicist who developed the Theory of Relativity.,2,0,fourties,male,us,en,,12,False,True,common_voice_en_17887508.mp3,Albert Einstein was a german physicist who developed the theory of relativity.
"Rich here, poor hereafter.",2,0,twenties,male,us,en,,4,False,True,common_voice_en_17390910.mp3,Rich here Poor hereafter.
What has he done?,2,0,twenties,male,us,en,,4,False,True,common_voice_en_17725281.mp3,What Has He done?
William Randolph Hearst appointed Alice Maud Head initially as assistant editor.,2,0,twenties,male,us,en,,11,False,True,common_voice_en_20919386.mp3,"William Randolph Hard appointed Alice Morehead, initially as assistant editor."
"You can lead a horse to water, but you can't make him drink.",2,0,twenties,male,us,en,,13,False,True,common_voice_en_17265953.mp3,You can lead a horse to water but you can't make him drink.
It is also illegal in many parts of Europe to declaw a cat.,2,0,twenties,male,us,en,,13,False,True,common_voice_en_20970003.mp3,It is also illegal in many parts of europe to declawed Cat Yeah.
"Horror, in contrast, ""freezes and nearly annihilates them"" with its unambiguous displays of atrocity.",2,1,teens,male,us,en,,14,False,True,common_voice_en_22748830.mp3,"Horror, in contrast, freezes and nearly annihilates them with this unambiguous displays of atrocity."
"The main parks are Alvaston Park, Keldholme Lane Park and Kiwi Park.",2,0,twenties,male,us,en,,12,False,True,common_voice_en_21256484.mp3,"The main parks are Galveston Park, Killed, Home Lane Park and Kiwi Park."
"Laurel, New Jersey.",2,0,twenties,male,us,en,,3,False,True,common_voice_en_19066810.mp3,Laurel new Jersey.
"It's a long way to Tipperary, it's a long way to go!",2,1,,male,us,en,,12,False,True,common_voice_en_17249946.mp3,"It's a long way to Tipperary, it's a long way to go."
We spoke often.,2,0,thirties,male,us,en,,3,False,True,common_voice_en_18522034.mp3,We spoke often.
"DeRosa was born in Passaic, New Jersey.",2,0,twenties,other,us,en,,7,False,True,common_voice_en_18815984.mp3,"De Rosa was born in Passaic, New jersey."
A somewhat disjunct population is found in the Eastern Ghats.,3,0,twenties,male,us,en,,10,False,True,common_voice_en_22085337.mp3,A somewhat disjunctive population is found in the Eastern Ghats.
"Today, however, its seven volumes are generally considered to be a single novel.",2,0,twenties,male,us,en,,13,False,True,common_voice_en_20068567.mp3,"Today, however, it's seven volumes are generally considered to be a single novel."
I sped to work.,2,0,twenties,male,us,en,,4,False,True,common_voice_en_17731243.mp3,I sped to work.
Blue roofs can provide a number of benefits depending on design.,2,0,sixties,male,us,en,,11,False,True,common_voice_en_18799881.mp3,Blue roofs can provide a number of benefits depending on design.
Improving the public transport system would help avoid traffic jams.,3,0,fourties,male,us,en,,10,False,True,common_voice_en_164988.mp3,Improving the public transport system would help avoid traffic gems.
How are you?,2,0,fourties,male,us,en,,3,False,True,common_voice_en_165000.mp3,How are You?
With distinctly separated sounds.,2,0,thirties,male,us,en,,4,False,True,common_voice_en_17847125.mp3,With distinctly separated sounds.
"When you hear the bell, come quickly.",2,0,thirties,male,us,en,,7,False,True,common_voice_en_16665829.mp3,When you hear the bell come quickly.
They may be read as texts in a variety of ways.,2,0,sixties,male,us,en,,11,False,True,common_voice_en_19500490.mp3,They may be read as texts in a variety of ways.
His brother Marc is also a former professional footballer.,2,0,twenties,male,us,en,,9,False,True,common_voice_en_20150345.mp3,His brother Mark is also a former professional footballer.
"The genus name is derived from Ancient Greek ""melas"", ""black"", and ""netta"", ""duck"".",2,0,sixties,male,us,en,,13,False,True,common_voice_en_20704603.mp3,"The genus name is derived from ancient greek, Medalis, black and Netta Duck."
"Aluminium hydroxide is sometimes mistakenly called ""alum"", which properly refers to aluminium potassium sulfate.",2,0,twenties,female,us,en,,14,False,True,common_voice_en_20827577.mp3,"Alimony and hydroxide is sometimes mistakenly called alum, which properly refers to aluminum potassium sulfate."
This is the expected or preferred direction of the angular random variables.,3,0,twenties,female,us,en,,12,False,True,common_voice_en_20219197.mp3,This is the expected or preferred direction of the angular random variables.
"That guy over there likes to drink a lot, talk a lot, but do nothing.",2,0,twenties,male,us,en,,15,False,True,common_voice_en_17289148.mp3,"That guy over there likes to drink a lot, talk a lot, but do nothing."
No ground effect train has entered regular commercial service.,2,0,fifties,female,us,en,,9,False,True,common_voice_en_19989612.mp3,No ground Effect train has entered regular commercial service.
"After the election, a Coalition government was formed by the Conservative and Liberal members.",2,0,twenties,male,us,en,,14,False,True,common_voice_en_21740047.mp3,"After the election, a coalition government was formed by the Conservative and Liberal members."
The osmosis between art and life is amazing.,2,0,teens,female,us,en,,8,False,True,common_voice_en_23621630.mp3,The osmosis between art and life is amazing.
Saint George's College was founded by the Josephites as a boys' boarding school.,2,0,teens,female,us,en,,13,False,True,common_voice_en_23729833.mp3,ST George's College was founded by the joseph fights as a boy's boarding school.
"The park is located in the Pilbara region, and is mostly tropical semi-arid climate.",2,0,twenties,male,us,en,,14,False,True,common_voice_en_19131319.mp3,MM The park is located in the Pilbara region and is mostly tropical semi arid climate.
Her hair flowed down her back.,3,0,fourties,male,us,en,,6,False,True,common_voice_en_164400.mp3,Her hair flowed down her back.
They live in Ockley in south Surrey.,2,0,sixties,female,us,en,,7,False,True,common_voice_en_19374617.mp3,They live in Oxley in South Surrey.
Virgil Earp took Holliday's walking stick.,2,0,twenties,male,us,en,,6,False,True,common_voice_en_18804504.mp3,Virgil Herb took holidays walking stick.
"He continues Every place I have tried it, it grows with no work.",2,0,twenties,female,us,en,,13,False,True,common_voice_en_19671958.mp3,"He continues every place I have tried it, it grows with no work."
"While earning his degree in physical education, Bugel was an all-conference guard and linebacker.",2,0,twenties,female,wales,en,,14,False,True,common_voice_en_18725466.mp3,"While earning his degree in physical education, Bugle was an All Conference Garden linebacker."
"Lobeck was born at Naumburg, in the Electorate of Saxony.",2,0,teens,male,wales,en,,10,False,True,common_voice_en_19005836.mp3,The beck was born at Nuremberg in the electorate of saxony.
This reflects a prevailing tension between legal unilateralism and multilateralism.,2,0,fourties,female,wales,en,,10,False,True,common_voice_en_19059278.mp3,This reflects a prevailing tension between legal unilateralism and multilateralism.
The insight was critical in developing the modern science of solid mechanics.,2,0,teens,male,wales,en,,12,False,True,common_voice_en_19005838.mp3,The insight was critical in developing the modern science of solid mechanics.
Miss Darcy's praise occupied the chief of it.,2,1,teens,male,wales,en,,8,False,True,common_voice_en_18995663.mp3,mr Darcy's praise occupied the chief of it.
There are several camping locations throughout Litchfield.,2,0,twenties,female,wales,en,,7,False,True,common_voice_en_19654246.mp3,There are several camping locations throughout Leach Field.
"For that reason, many marquetarians have switched to fret or scroll saw techniques.",2,0,fourties,female,wales,en,,13,False,True,common_voice_en_19059320.mp3,"For that reason, many market terrians have switched to fret or scroll saw techniques."
India Blue are the current champions.,2,0,teens,male,wales,en,,6,False,True,common_voice_en_18998721.mp3,India Blue of the Current Champions.
Let me know by the thirteenth.,2,0,thirties,male,wales,en,,6,False,True,common_voice_en_17940430.mp3,Let me know by the 13th.
Some operators manage these challenges by purchasing extra buses.,2,0,fourties,female,wales,en,,9,False,True,common_voice_en_19073081.mp3,Some operators manage these challenges by purchasing extra buses.
The biological systems matrix includes enhancements for extended plant life and crop maturation.,2,0,twenties,female,wales,en,,13,False,True,common_voice_en_19654165.mp3,The Biological Systems Matrix includes enhancements for extended plant life and cropped maceration.
"For Brandom, beliefs pertain to concepts: without the latter there can be no former.",2,0,teens,male,wales,en,,14,False,True,common_voice_en_20005769.mp3,"For brand, um leaves pertain to concepts without the latter, there can be no former."
One of these days is tomorrow.,3,0,twenties,male,wales,en,,6,False,True,common_voice_en_136366.mp3,one of these days is tomorrow.
Two years later Marie L. Wadley became the first president of the museum.,2,1,twenties,male,wales,en,,13,False,True,common_voice_en_19670623.mp3,"two years later, Mary Elle Wobbly became the first president of the museum."
"His father, Owen, was executed as a traitor.",2,0,twenties,male,wales,en,,8,False,True,common_voice_en_18827255.mp3,"His father Owen, was executed as a traitor."
The mountain pass at the top of the canyon is known as Parley's Summit.,2,0,sixties,other,wales,en,,14,False,True,common_voice_en_18712607.mp3,The mountain pass at the top of the canyon is known as parleys Summit.
Lucy's a newspaper woman.,2,0,twenties,male,wales,en,,4,False,True,common_voice_en_136339.mp3,LUCY is a newspaper woman.
High overhead a heron floated.,2,0,sixties,female,wales,en,,5,False,True,common_voice_en_22243022.mp3,High Overhead A Heaven 40.
"This pepperoni tastes off, she said.",2,0,twenties,male,wales,en,,6,False,True,common_voice_en_136379.mp3,"This pepperoni tastes off, she said."
The engine will be sent via palletized delivery.,2,1,twenties,female,wales,en,,8,False,True,common_voice_en_18283868.mp3,The engine will be sent via politicized delivery.
The fumes from the traffic was unbearable.,2,1,twenties,male,wales,en,,7,False,True,common_voice_en_136372.mp3,The fumes from the traffic was unbearable.
"And, eventually, man will nourish your sands, where the game will once again flourish.",3,0,thirties,male,wales,en,,14,False,True,common_voice_en_165554.mp3,And eventually man will nourish your son's where the game will once again flourish.
The doctrinal basis contains what evangelicals perceive as the biblical foundations of Christianity.,2,0,sixties,female,wales,en,,13,False,True,common_voice_en_22293157.mp3,The doctrinal basis contains what evangelicals perceived as the biblical foundations of Christianity.
"Sylvia wrote, performed, and involved herself in various projects.",2,0,sixties,female,wales,en,,9,False,True,common_voice_en_22293250.mp3,"Sylvia wrote, performed and involved herself in various projects."
Another much-admired work of his was the campanile of the church of Santo Spirito.,2,0,fourties,female,wales,en,,14,False,True,common_voice_en_19073079.mp3,Another much admired work of his was the Campanile of the Church of Santo Spirito.
"Although it was a commercial failure, it inspired scientists and inventors around the world.",2,0,teens,male,wales,en,,14,False,True,common_voice_en_23468156.mp3,"Although it was a commercial failure, it inspired scientists and inventors around the world."
Welding also required fewer man-hours in construction.,2,0,fourties,female,wales,en,,7,False,True,common_voice_en_19059251.mp3,Welding also required fewer man hours in construction.
To err is human To forgive divine.,2,0,fourties,male,wales,en,,7,False,True,common_voice_en_17768477.mp3,To air is human to forgive divine.
"Despite the absence of a body, Goren strongly believes that Valerie is dead.",2,0,thirties,female,wales,en,,13,False,True,common_voice_en_19098582.mp3,"Despite the absence of a body, Goran strongly believes that Valerie is dead Mhm."
That's what makes it romantic.,2,0,seventies,male,wales,en,,5,False,True,common_voice_en_195599.mp3,That's what makes it romantic.
Court eunuchs could rise to positions of authority in the Empire.,2,1,twenties,male,wales,en,,11,False,True,common_voice_en_23497701.mp3,Court eunuchs could rise to positions of authority in the Empire.
Did you ever walk into this office.,2,0,twenties,male,wales,en,,7,False,True,common_voice_en_136345.mp3,Did you ever walk into this office?
"Tom Whitlock was born and raised in Springfield, Missouri.",2,1,twenties,female,wales,en,,9,False,True,common_voice_en_19653804.mp3,John Wick Locke was born and raised in Springfield Missouri.
The text of his speech at Ferris Hills can be found here.,2,0,twenties,male,wales,en,,12,False,True,common_voice_en_23497704.mp3,The text of his speech at ferris Hills can be found here.
And in this case we were wrong.,2,0,teens,male,wales,en,,7,False,True,common_voice_en_19419442.mp3,And in this case we were wrong.
These are not camels!,2,0,twenties,male,wales,en,,4,False,True,common_voice_en_136369.mp3,These are not camels.
Much Ado About Nothing,2,0,seventies,male,wales,en,,4,False,True,common_voice_en_195604.mp3,Much ado about nothing.
He slipped on the stairs.,2,0,seventies,male,wales,en,,5,False,True,common_voice_en_195601.mp3,Mhm. He slipped on the stairs.
"If a person is living out his destiny, he knows everything he needs to know.",3,1,twenties,male,wales,en,,15,False,True,common_voice_en_126424.mp3,"If a person is living ours destiny, he knows everything he needs to know."
I've seen guys like you go under before.,2,0,thirties,male,wales,en,,8,False,True,common_voice_en_176477.mp3,I've seen guys like you go Under before.
