jobName,transcript
common_voice_en_101064.mp3,"Okay, I think they perceived that nothing was to be done at the moment."
common_voice_en_101107.mp3,"I'm going to guide you across the desert, the alchemist said."
common_voice_en_103233.mp3,He carried two dead hawks over his shoulder.
common_voice_en_105799.mp3,The railway station was locked up by the police.
common_voice_en_106457.mp3,He decided to concentrate on more practical matters.
common_voice_en_107507.mp3,Where do you get it?
common_voice_en_111714.mp3,The men were terrified at his sorcery.
common_voice_en_111931.mp3,The girl at the Booth sold 50 bonds.
common_voice_en_11254.mp3,"As the flag unfurled, they all heart like wild beasts."
common_voice_en_11351573.mp3,Christmas you don't like him.
common_voice_en_11351651.mp3,"Yeah, yesterday I asked my doctor for a new prescription."
common_voice_en_11351964.mp3,What do you associate with Iceland?
common_voice_en_115779.mp3,Can I have one of those?
common_voice_en_11820530.mp3,The cake will be ready in 17 minutes.
common_voice_en_11820795.mp3,See the player Scoot to 3rd Base.
common_voice_en_12566778.mp3,"Yeah, Hunger is good Mustard the best source."
common_voice_en_126424.mp3,"If a person is living ours destiny, he knows everything he needs to know."
common_voice_en_127170.mp3,Now his intuition was that he had been right and coming.
common_voice_en_12724466.mp3,A Deputy Representative.
common_voice_en_127331.mp3,But there is a tribal or the boy reiterated.
common_voice_en_127362.mp3,You must understand that love never keeps a man from pursuing his destiny.
common_voice_en_127364.mp3,What do you want here today That is it asked him.
common_voice_en_136339.mp3,LUCY is a newspaper woman.
common_voice_en_136345.mp3,Did you ever walk into this office?
common_voice_en_136366.mp3,one of these days is tomorrow.
common_voice_en_136369.mp3,These are not camels.
common_voice_en_136372.mp3,The fumes from the traffic was unbearable.
common_voice_en_136379.mp3,"This pepperoni tastes off, she said."
common_voice_en_137782.mp3,What's it all about?
common_voice_en_137795.mp3,Tranquility is the first duty of citizens.
common_voice_en_141144.mp3,You better take it easy.
common_voice_en_142201.mp3,He's a fanatic.
common_voice_en_143209.mp3,Let's go hiking across France.
common_voice_en_143601.mp3,I wonder what's eating that old money grubbing buzzard anyway.
common_voice_en_1513.mp3,At first glance it was really not very exciting.
common_voice_en_153111.mp3,So how will we name all these hurricanes?
common_voice_en_153674.mp3,They were on the right track.
common_voice_en_155752.mp3,That's why I want you to continue towards your goal.
common_voice_en_15733997.mp3,The urge to read short stories is rare.
common_voice_en_15734560.mp3,The ashtray was empty.
common_voice_en_15734626.mp3,The phone call got interrupted due to unknown reasons.
common_voice_en_15752515.mp3,I'm feeling a little tipsy.
common_voice_en_15903317.mp3,The mother sat in the courtroom.
common_voice_en_164400.mp3,Her hair flowed down her back.
common_voice_en_164988.mp3,Improving the public transport system would help avoid traffic gems.
common_voice_en_165000.mp3,How are You?
common_voice_en_165554.mp3,And eventually man will nourish your son's where the game will once again flourish.
common_voice_en_16623999.mp3,Mutes little instruments on the bridge of the violin didn't mean the sound.
common_voice_en_16624487.mp3,I think that is all.
common_voice_en_16665829.mp3,When you hear the bell come quickly.
common_voice_en_168236.mp3,"Because I've always heard about them, the boy answered, saying nothing about history."
common_voice_en_17147386.mp3,Smoke poured out of every crack.
common_voice_en_17245817.mp3,Brown is a bag and from its trap.
common_voice_en_17246114.mp3,Do you notice the flickering of the neon lights?
common_voice_en_17248185.mp3,Does that imply I can no longer play badminton?
common_voice_en_17248858.mp3,Try to make eye contact with a stranger on the bus and hold it for five seconds without speaking.
common_voice_en_17248859.mp3,Hey stop staring at my dick olivier.
common_voice_en_17249486.mp3,Did you rewind the cassette?
common_voice_en_17249524.mp3,"Well, we shall see."
common_voice_en_17249564.mp3,"As they watched the waves crashing into each other, Alice Thought of Home Yeah!"
common_voice_en_17249946.mp3,"It's a long way to Tipperary, it's a long way to go."
common_voice_en_17250847.mp3,"I wanted the dull, but the auction became too expensive."
common_voice_en_17252662.mp3,Where Did you find that Apple?
common_voice_en_17253558.mp3,And What is That?
common_voice_en_17253570.mp3,Grime rust and residual particles polluted the air.
common_voice_en_17260185.mp3,Have you ever been to Singapore?
common_voice_en_17261288.mp3,Darling could you grab me some throat candy down at the local chemist?
common_voice_en_17261756.mp3,"For example, Colombia chile Argentina and Venezuela."
common_voice_en_17265793.mp3,A comment came within miles of the Earth it's almost obliterated the Moon.
common_voice_en_17265953.mp3,You can lead a horse to water but you can't make him drink.
common_voice_en_17266880.mp3,The C plus plus framework cutie is pronounced like cute.
common_voice_en_17266990.mp3,What Does It Do?
common_voice_en_17271943.mp3,What else Can I do?
common_voice_en_17277871.mp3,Will You marry Me?
common_voice_en_17283180.mp3,How long have you been experiencing these symptoms?
common_voice_en_17284218.mp3,The new little prohibit smoking and public transportation systems.
common_voice_en_17285567.mp3,I thought we'd already agreed that we couldn't risk that information falling into his hands.
common_voice_en_17289148.mp3,"That guy over there likes to drink a lot, talk a lot, but do nothing."
common_voice_en_17289467.mp3,"Yeah man, I think I got friend zoned once again."
common_voice_en_17289600.mp3,How old are You?
common_voice_en_17290524.mp3,Did you hear anything?
common_voice_en_17314174.mp3,Not to know how to sign 1's name.
common_voice_en_17355285.mp3,Why are we doing this again?
common_voice_en_17369592.mp3,Silence gives consent.
common_voice_en_17369641.mp3,Please make sure your recordings are not cut off.
common_voice_en_17375676.mp3,The bright lanterns were gay on the dark lawn.
common_voice_en_17376237.mp3,There is a thin line between love and hate.
common_voice_en_17376246.mp3,The pod is what peas always grow in.
common_voice_en_17390910.mp3,Rich here Poor hereafter.
common_voice_en_17394025.mp3,A cloud of dust stung his tender eyes.
common_voice_en_17401437.mp3,Did You really Think It through?
common_voice_en_17407334.mp3,This coat is fur lined.
common_voice_en_17412635.mp3,I. Retrieved the crop with a pallet jack.
common_voice_en_17418035.mp3,Mhm. That's comparing apples and oranges.
common_voice_en_17428767.mp3,What's In It For Me?
common_voice_en_17454138.mp3,The marshal freeze been cold enough.
common_voice_en_17488872.mp3,Agriculture was a very important achievement in human history.
common_voice_en_174956.mp3,Get Catherine at the bulletin on the phone.
common_voice_en_17509285.mp3,The future has never been so bright then today.
common_voice_en_17524531.mp3,How Do You know it?
common_voice_en_176477.mp3,I've seen guys like you go Under before.
common_voice_en_17693201.mp3,I'm a Detective not a Communist.
common_voice_en_17725281.mp3,What Has He done?
common_voice_en_17728045.mp3,The general breed you need to pay.
common_voice_en_17731243.mp3,I sped to work.
common_voice_en_17746452.mp3,"Back to our Original Plan, I think."
common_voice_en_17768477.mp3,To air is human to forgive divine.
common_voice_en_17779685.mp3,The bark of the pine tree was shiny and dark.
common_voice_en_17790012.mp3,The thal came early and freed the stream.
common_voice_en_17790038.mp3,So are you planning to order a taxi?
common_voice_en_17830225.mp3,"Yeah, it's no use crying over spilt milk."
common_voice_en_17847125.mp3,With distinctly separated sounds.
common_voice_en_178647.mp3,"I'm sorry, it's impossible."
common_voice_en_178689.mp3,There Ain't any More.
common_voice_en_178722.mp3,They say it's a fake.
common_voice_en_178814.mp3,Mhm. What would you say about that?
common_voice_en_17887508.mp3,Albert Einstein was a german physicist who developed the theory of relativity.
common_voice_en_178908.mp3,Mhm under construction is simply translated to superfund playground.
common_voice_en_179052.mp3,It was not clear who had the right of way since the traffic lights were off.
common_voice_en_179080.mp3,The chairlift took them up the mountain.
common_voice_en_17909038.mp3,When are we leaving for the party?
common_voice_en_17940430.mp3,Let me know by the 13th.
common_voice_en_18019178.mp3,Mhm We can just grab the artist movement with they will show the question of second order.
common_voice_en_18033938.mp3,What else Can I do?
common_voice_en_18033985.mp3,What Is It Boss?
common_voice_en_18034125.mp3,"Japanese culture is incredibly addictive, their buildings look amazing."
common_voice_en_18034138.mp3,Do you understand what it means?
common_voice_en_18066484.mp3,Is anything the matter?
common_voice_en_18066515.mp3,A wise man doesn't need advice and a full won't take it.
common_voice_en_18066548.mp3,Phil will you take a stance on this matter?
common_voice_en_18121401.mp3,Foxes are uncommon where I'm from.
common_voice_en_18121610.mp3,A Symphony.
common_voice_en_18128676.mp3,I lost the last thursday.
common_voice_en_18133815.mp3,This lamp is quite nice.
common_voice_en_18165270.mp3,That would be funny if he did.
common_voice_en_18212861.mp3,I'm literally a flying pony.
common_voice_en_18247065.mp3,"In the country of the blind, the one eyed Man is King."
common_voice_en_18263613.mp3,Why does the china sauce packs feel sticky?
common_voice_en_18283868.mp3,The engine will be sent via politicized delivery.
common_voice_en_18315407.mp3,It's the strap hangers that will keep us from going under.
common_voice_en_18330135.mp3,Then there was the campaign.
common_voice_en_18333597.mp3,The dog clothes.
common_voice_en_18400466.mp3,Is that a translation or merely a transliteration?
common_voice_en_18414452.mp3,I arose obediently and went down the beach.
common_voice_en_18455743.mp3,My daughter is hoping to volunteer the nature reserve.
common_voice_en_18458792.mp3,Can Mats explain everything?
common_voice_en_18460263.mp3,I think as a conventional model can solve this problem.
common_voice_en_18460368.mp3,Contributions gratefully received.
common_voice_en_18466177.mp3,Did he received from his position?
common_voice_en_18497173.mp3,I looked in the mirror.
common_voice_en_18522034.mp3,We spoke often.
common_voice_en_18536557.mp3,It has a cascading effect.
common_voice_en_185403.mp3,We didn't steal it.
common_voice_en_18543164.mp3,"However, Jury men would have done just as well."
common_voice_en_18545816.mp3,We are all my servants.
common_voice_en_1858127.mp3,Go Now and Come Here Later.
common_voice_en_18582599.mp3,My Guardian said directly he would go to.
common_voice_en_18586876.mp3,"No, my lady, I'm telling him."
common_voice_en_18594331.mp3,That's my protectors get more a full support.
common_voice_en_18606573.mp3,I have no time to waste.
common_voice_en_18606766.mp3,She lives the same life still.
common_voice_en_18607551.mp3,It was so good of her and so encouraging to me.
common_voice_en_18618683.mp3,The Local council looks after municipal needs.
common_voice_en_18620730.mp3,Then he bet first more over the woman.
common_voice_en_18642330.mp3,"How do You know I'm Mad, said Alice."
common_voice_en_18645755.mp3,"Despite these divergences and opinions, people can agree on some common views."
common_voice_en_18651702.mp3,I was about to about the stairs.
common_voice_en_18658046.mp3,I saw a ford focus for sale.
common_voice_en_18667644.mp3,Oh behave!
common_voice_en_18712607.mp3,The mountain pass at the top of the canyon is known as parleys Summit.
common_voice_en_18712946.mp3,Part of this was also attributed to a downturn in the telecommunications sector.
common_voice_en_18712978.mp3,"The founding members were alexander von l Cliftonville Distillery, knock my Eola Park and Old Park."
common_voice_en_18713112.mp3,These products appeal to the masses and encourage conformity to the consumers.
common_voice_en_18721495.mp3,"Right, the city also hosts a number of national and international ice speedway events."
common_voice_en_18721552.mp3,A line that is decreasing has a negative rise okay.
common_voice_en_18725466.mp3,"While earning his degree in physical education, Bugle was an All Conference Garden linebacker."
common_voice_en_18752363.mp3,"He attended dr morgan's Grammar School, Bridgewater, where he met kim Newman."
common_voice_en_18774563.mp3,"The second of nine Children, both of his parents were practicing Catholics."
common_voice_en_18783262.mp3,The first Barham also represented to morph into Parliament as a Conservative.
common_voice_en_18799881.mp3,Blue roofs can provide a number of benefits depending on design.
common_voice_en_18804504.mp3,Virgil Herb took holidays walking stick.
common_voice_en_18810142.mp3,Near and offers as he has too many super villains before to augment shades power.
common_voice_en_18815984.mp3,"De Rosa was born in Passaic, New jersey."
common_voice_en_18827255.mp3,"His father Owen, was executed as a traitor."
common_voice_en_18842190.mp3,The increase in incarceration led to prison overcrowding.
common_voice_en_18874049.mp3,"She was displaced, I just go away by job board."
common_voice_en_18880409.mp3,Mark Hampshire soon joined as the band's original bassist.
common_voice_en_18880434.mp3,He was the center's first paid staff member.
common_voice_en_18890753.mp3,"Yeah, Amy was the daughter of the figure of ST Stephen's church, Spring Street, Hull yeah."
common_voice_en_18893592.mp3,Warming centres typically open during particularly cold or rainy nights.
common_voice_en_18893760.mp3,Several prostaglandin E synthesis have been identified.
common_voice_en_18893834.mp3,Fuji District was dissolved as a result of this merger Okay.
common_voice_en_18906287.mp3,"After graduation he returned home to Arizona, where he began a straw practice."
common_voice_en_18940209.mp3,Face Head has received praise for its distinctive sound and lyrics.
common_voice_en_18945564.mp3,This was later adopted by the Army.
common_voice_en_18974994.mp3,A new limit to the number of pets allowed pet owner was also added.
common_voice_en_18979043.mp3,"For a left handed percussionist, the legs and hands are switched."
common_voice_en_18979234.mp3,"He secured the support of Honor Montebello, who plays good soon thereafter."
common_voice_en_18986688.mp3,"Soon after this rediscovery boubacar, his wife died during childbirth okay?"
common_voice_en_18993276.mp3,No roads were ever built and no earthworks or materials were ever bought.
common_voice_en_18995663.mp3,mr Darcy's praise occupied the chief of it.
common_voice_en_18998721.mp3,India Blue of the Current Champions.
common_voice_en_19005836.mp3,The beck was born at Nuremberg in the electorate of saxony.
common_voice_en_19005838.mp3,The insight was critical in developing the modern science of solid mechanics.
common_voice_en_19009502.mp3,"Shapiro was later replaced by ralph Barnes, though he later rejoined the group."
common_voice_en_19017444.mp3,Most broadcasts are only a few minutes to a few hours at a time.
common_voice_en_19018878.mp3,For this he was named Disney Legend.
common_voice_en_19059251.mp3,Welding also required fewer man hours in construction.
common_voice_en_19059278.mp3,This reflects a prevailing tension between legal unilateralism and multilateralism.
common_voice_en_19059320.mp3,"For that reason, many market terrians have switched to fret or scroll saw techniques."
common_voice_en_19061389.mp3,Beach parking is subject to solve the island Wildlife Area parking permits.
common_voice_en_19062865.mp3,The economy of Asakura is primarily based on agriculture.
common_voice_en_19066810.mp3,Laurel new Jersey.
common_voice_en_19073079.mp3,Another much admired work of his was the Campanile of the Church of Santo Spirito.
common_voice_en_19073081.mp3,Some operators manage these challenges by purchasing extra buses.
common_voice_en_19079890.mp3,It is predicted to increase in a stable growth rate in the coming years.
common_voice_en_19081425.mp3,The Monday to Friday of Peak Services two trains per hour each way.
common_voice_en_19090338.mp3,The district is centered on Huntington Beach.
common_voice_en_19098582.mp3,"Despite the absence of a body, Goran strongly believes that Valerie is dead Mhm."
common_voice_en_19131319.mp3,MM The park is located in the Pilbara region and is mostly tropical semi arid climate.
common_voice_en_19206647.mp3,"Yeah, but the titles also rather obscure not to the Beatles revolver."
common_voice_en_19260807.mp3,He developed several improvements in railroad signaling system that increased railway safety.
common_voice_en_19260808.mp3,"Other writers included Wh bolton, Melvin Purpose and Harry Whitaker among many others."
common_voice_en_19265335.mp3,Peter finally surrenders when an american missiles pointed at him.
common_voice_en_19265400.mp3,Its editor in chief is Mohammed a f North.
common_voice_en_19349711.mp3,Only son customers with paid support contracts have access to updates for production releases.
common_voice_en_19374617.mp3,They live in Oxley in South Surrey.
common_voice_en_19388558.mp3,George was the Chairman of the Society of Black Engineers Publications Committee.
common_voice_en_19411153.mp3,Hello slash stock with the virus I called paladin yeah.
common_voice_en_19419442.mp3,And in this case we were wrong.
common_voice_en_19429298.mp3,The stadium has since been heavily damaged by looters.
common_voice_en_19439770.mp3,The relevant language of Oman.
common_voice_en_19455843.mp3,This has not stopped fans from creating a set of rules that Dragon Poker.
common_voice_en_19463757.mp3,"And two days later, operations from thesis ended."
common_voice_en_19500490.mp3,They may be read as texts in a variety of ways.
common_voice_en_19511657.mp3,It is useful for investigating the effects of irradiation on high temperature superconductors.
common_voice_en_19530419.mp3,The track the supermarket starts back with crossed T fuck of bypass and loss.
common_voice_en_19533514.mp3,The album was recorded Randy's in Kingston Jamaica.
common_voice_en_19547443.mp3,"However, it was an international success."
common_voice_en_19547558.mp3,That quickly was murdered by his favorite slave.
common_voice_en_19547602.mp3,If you don't have the suit lay down any other card Mhm.
common_voice_en_19547711.mp3,"one would receive a sharp wind from it, but there is no pain."
common_voice_en_195599.mp3,That's what makes it romantic.
common_voice_en_195601.mp3,Mhm. He slipped on the stairs.
common_voice_en_195604.mp3,Much ado about nothing.
common_voice_en_19576243.mp3,Your head does not take yeah.
common_voice_en_19593195.mp3,Still and I was added to the liquid.
common_voice_en_19596026.mp3,Some examples of the music played for the dancers have survived.
common_voice_en_19598826.mp3,"A half Cup of Prefect, he shows a notable streak of modesty in fairness."
common_voice_en_196033.mp3,10 years not like the rest of Africa.
common_voice_en_196040.mp3,"But I'm going to Egypt, the boy said."
common_voice_en_19607900.mp3,Almost every asset class is managed both internally and externally.
common_voice_en_19610290.mp3,He was buried at o neill Cemetery in his own town of Jasper Alabama.
common_voice_en_19612307.mp3,Body means awakening or enlightenment.
common_voice_en_19624455.mp3,Artist fake Mooney's use skywriting for his Cloud Cloud project.
common_voice_en_19638712.mp3,Identity It will reply to his friend dr Lee.
common_voice_en_19640568.mp3,He designed the first school and the church in the colony.
common_voice_en_19646658.mp3,"Don't you think that's being rather modest, the lawyer replied."
common_voice_en_19646773.mp3,"His rooms were on staircase, see 1st court and known as the cubicle."
common_voice_en_19646795.mp3,One particularly rigorous aspect of studio classes is to critique or review.
common_voice_en_19653084.mp3,In continental europe letters proved equally popular.
common_voice_en_19653804.mp3,John Wick Locke was born and raised in Springfield Missouri.
common_voice_en_19654165.mp3,The Biological Systems Matrix includes enhancements for extended plant life and cropped maceration.
common_voice_en_19654246.mp3,There are several camping locations throughout Leach Field.
common_voice_en_19665853.mp3,You will bring these persons performing this afternoon.
common_voice_en_19666054.mp3,College in Bangalore India.
common_voice_en_19669556.mp3,ACUTE uric acid nephew apathy is associated with little or no urine output.
common_voice_en_19670623.mp3,"two years later, Mary Elle Wobbly became the first president of the museum."
common_voice_en_19671958.mp3,"He continues every place I have tried it, it grows with no work."
common_voice_en_19674018.mp3,Agriculture is the main economic activity.
common_voice_en_19676045.mp3,He also made the front cover of sports illustrated following his five game winning streak.
common_voice_en_19676110.mp3,"The horror show starts off with a pyrotechnic stage show, complete with actors."
common_voice_en_19676189.mp3,Mountain Point is a part of the Temp Union High School District.
common_voice_en_19677873.mp3,Actions of the President must be approved by the commission.
common_voice_en_19687171.mp3,The ultra accelerator injection gives Derek the power he needs to change the past Yeah.
